,GOOG,GOOG,GOOG,GOOG,GOOG
,open,high,low,close,volume
time,,,,,
2019-12-02 00:00:00-05:00,1302.3994,1304.2657,1281.0,1289.77,1165927
2019-12-03 00:00:00-05:00,1279.57,1298.461,1279.0,1295.27,1033844
2019-12-04 00:00:00-05:00,1307.01,1325.8,1304.87,1320.3,1394677
2019-12-05 00:00:00-05:00,1328.0,1329.3579,1316.44,1328.89,1014076
2019-12-06 00:00:00-05:00,1333.44,1344.0,1333.44,1340.51,1116598
2019-12-09 00:00:00-05:00,1338.04,1359.45,1337.84,1343.55,1197803
2019-12-10 00:00:00-05:00,1341.17,1349.975,1336.04,1344.95,938531
2019-12-11 00:00:00-05:00,1349.04,1351.2,1342.67,1345.02,720434
2019-12-12 00:00:00-05:00,1345.94,1355.775,1340.5,1350.31,1097913
2019-12-13 00:00:00-05:00,1349.78,1353.0931,1343.87,1347.83,1195995
2019-12-16 00:00:00-05:00,1355.54,1364.68,1352.67,1361.17,1144953
2019-12-17 00:00:00-05:00,1363.54,1365.0,1351.3231,1354.23,1513307
2019-12-18 00:00:00-05:00,1357.66,1360.47,1351.0,1351.94,1020139
2019-12-19 00:00:00-05:00,1351.82,1358.1,1348.985,1356.18,990172
2019-12-20 00:00:00-05:00,1363.35,1363.64,1349.0,1349.175,2091420
2019-12-23 00:00:00-05:00,1355.87,1359.7999,1346.51,1348.93,709496
2019-12-24 00:00:00-05:00,1348.5,1350.26,1342.78,1343.56,277412
2019-12-26 00:00:00-05:00,1346.17,1361.3269,1344.47,1360.4,570341
2019-12-27 00:00:00-05:00,1362.99,1364.53,1349.31,1351.34,916064
2019-12-30 00:00:00-05:00,1350.0,1353.0,1334.02,1336.85,925906
2019-12-31 00:00:00-05:00,1333.09,1338.0,1329.085,1336.72,717693
